X,molecule,Value,logTox,Value_mmol,logToxm,stars,amine,amidine,acid,amide,rotor,rtvFG,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip.2.V,ACxDN..5.SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo.w,QPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP.eV.,EA.eV.,SAfluorine,SAamideO,PSA,NandO,RuleOf5,ringatoms,in34,in56,noncon,nonHatm,HOMO_AM1,LUMO_AM1,dE,Species,Measure,Time.h.,aveTOX,EA.AM1,IA.AM1,Chem.Pot
152,100641,208,5.33753808,1.84,0.61,6,0,0,0,0,2,1,113.16,1.47,316.2,230.53,85.67,0,0,480.23,1,2.7,0,0.01,0.94,11.78,3.68,5.91,4.75,0.49,-0.92,-2.54,1525.89,-0.21,781.12,-2.91,10.18,-0.92,0,0,45.07,2,0,6,0,6,5,8,-9.89,1.11,11,Fathead,LC50,96,208,-1.11,9.89,-4.39
153,100709,726,6.587550015,6.97,1.94,6,0,0,0,0,1,0,104.11,6.44,295.02,0,94.76,200.27,0,427.86,0,2.5,0.1,0,0.93,12.24,4.25,6.17,4.68,0,-1.28,-3.61,1251.11,-0.23,630.26,-2.46,10.52,0.85,0,0,37.69,2,0,6,0,6,0,8,-10.31,-0.73,9.57,Fathead,LC50,96,726,0.73,10.31,-5.52
154,100710,414,6.025865974,3.86,1.35,5,0,0,0,0,1,0,107.16,1.46,321.1,134.36,11.74,175.01,0,481.41,0,1,0,0,0.93,14.14,4.03,4.29,2.53,2.25,-1.85,-3.58,7666.72,0.41,4472.07,-1.02,9.96,-0.06,0,0,10.39,1,0,6,0,6,0,8,-9.66,0.17,9.83,Fathead,LC50,96,414,-0.17,9.66,-4.745
155,100798,16700,9.723163998,126,4.84,6,0,0,0,0,2,1,132.16,3.17,321.42,265.97,55.45,0,0,502.98,1,3.2,0.02,0.01,0.95,12.69,3.87,6.58,5.05,0.86,-0.91,-2.32,2951.75,0.04,1593.86,-2.35,10.81,-2.42,0,0,41.27,3,0,5,0,5,3,9,-10.48,2.25,12.73,Fathead,LC50,96,16700,-2.25,10.48,-4.115
156,100970,49800,10.81577026,355,5.87,10,4,0,0,0,0,0,140.19,0.01,305.37,267.63,37.74,0,0,487.51,0,8,2.00E-07,0,0.98,13.36,3.7,7.71,8.59,-3.79,2,-4.74,67.42,1.1,36.31,-6.34,9.89,-2.06,0,0,28.26,4,0,10,0,10,6,10,-10.03,2.4,12.44,Fathead,LC50,96,49800,-2.4,10.03,-3.815
614,101836924,4.24,1.444563269,0.01,-4.23,1,0,0,0,0,3,0,234.17,6.33,399.95,0,211.94,188.01,0,655.45,1,2.75,0.06,0.01,0.91,19.95,7.51,10.43,6.91,0.99,-2.15,-3.85,96.85,-1.32,39.67,-4.48,9.96,1.97,0,0,103.03,7,0,10,0,10,0,17,-5.15,2.59,7.74,Fathead,LC50,96,4.24,-2.59,5.15,-1.28
157,101848,4,1.386294361,0.02,-3.75,5,0,0,0,0,2,0,170.21,1.97,381.89,0,0,381.89,0,614.27,0,0.5,0.01,0,0.92,20.79,6.75,6.61,3.29,4.17,-3.93,-4.73,9906.04,-0.04,5899.29,0.02,9.24,0.01,0,0,8.65,1,0,12,0,12,0,13,-8.95,0.17,9.13,Fathead,LC50,96,4,-0.17,8.95,-4.39
158,102272,49.5,3.90197267,0.37,-1.01,3,0,0,0,0,2,0,135.21,2.15,381.65,221.96,14.71,144.97,0,591.79,1,1,0.01,0,0.89,17.63,4.97,6.88,3.73,2.85,-2,-3.95,7184.33,0.32,4168.72,-1.09,7.99,-0.65,0,0,12.89,1,0,6,0,6,0,10,-8.34,0.65,8.99,Fathead,LC50,96,49.5,-0.65,8.34,-3.845
159,102692,50.9,3.929862924,0.36,-1.04,6,1,0,0,0,6,0,143.27,0.77,429.67,428.82,0.85,0,0,694.28,0,2,0,0,0.88,17.78,4.63,5.47,1.41,2.36,-1.17,-4.16,2425,0.59,1425.8,-3.02,9.47,-2.85,0,0,5.27,1,0,0,0,0,0,10,-9,2.85,11.85,Fathead,LC50,96,50.9,-2.85,9,-3.075
160,102716,11800,9.37585481,79.1,4.37,4,1,0,0,0,9,0,149.19,2.79,333.5,214.28,119.22,0,0,533.32,3,7.1,0.01,0.04,0.95,9.41,5.13,10.46,10.73,-1.3,1.38,-3.01,182.92,-0.45,87.26,-4.92,9.03,-3.03,0,0,61.03,4,0,0,0,0,0,10,-9.1,2.75,11.85,Fathead,LC50,96,11800,-2.75,9.1,-3.175
562,10293068,68.5,4.226833745,0.3,-1.22,3,0,0,0,0,0,1,231.13,4.63,368.41,275.01,38.12,0,55.28,626.92,0,2,0.03,0,0.96,18.94,5.31,7.15,2.85,2.36,-2.27,-2.15,4309.45,0.42,4818.46,-2.22,10.47,0.71,0,0,24.56,1,0,7,0,7,6,12,-10.19,0.21,10.4,Fathead,LC50,96,68.5,-0.21,10.19,-4.99
161,103059,66.4,4.195697056,0.4,-0.91,3,0,0,0,0,4,0,164.25,1.83,414.34,183.91,36.84,193.6,0,671.93,1,0.75,0,0,0.9,20.02,6.34,7.68,3.61,3.09,-2.7,-4.15,4431.84,0.02,2473.04,-1.13,9.62,-0.37,0,0,20.27,1,0,6,0,6,0,12,-9.39,0.48,9.88,Fathead,LC50,96,66.4,-0.48,9.39,-4.455
163,103764,6410,8.76561455,49.2,3.9,2,2,0,0,0,3,0,130.19,1.76,341.15,256.42,84.73,0,0,528.27,2,5.2,0.01,0.02,0.93,13.06,4.3,9.12,8.51,-1.08,1.62,-4.18,96.87,0.52,48.56,-6.92,9.38,-2.87,0,0,44.12,3,0,6,0,6,4,9,-9.24,2.64,11.88,Fathead,LC50,96,6410,-2.64,9.24,-3.3
164,103833,37.8,3.632309103,0.28,-1.27,4,1,0,0,0,2,0,135.21,1.02,357.21,161.79,6.99,188.43,0,568.84,0,2,0,0,0.93,17.13,5.1,5.82,3.44,1.78,-0.98,-4.3,2120.9,0.79,1233.56,-2.86,9.45,-0.38,0,0,6.79,1,0,6,0,6,0,10,-9.18,0.51,9.68,Fathead,LC50,96,37.8,-0.51,9.18,-4.335
165,103902,814,6.701960366,5.39,1.68,0,0,0,0,0,2,0,151.17,6.8,367.39,95.13,111.56,160.7,0,560.06,2,3.25,0.08,0.01,0.89,16.51,5.65,10.7,8.14,0.51,-1.06,-4.01,866.96,-0.49,423.97,-2.82,8.83,-0.05,0,0,59.66,3,0,6,0,6,0,11,-8.46,0.25,8.71,Fathead,LC50,96,814,-0.25,8.46,-4.105
166,104132,10.2,2.32238772,0.07,-2.69,1,0,0,0,0,4,0,149.24,2.07,405.07,194.28,61.68,149.11,0,641.12,1.5,1,0.01,0,0.89,18.36,5.93,8.02,4.43,2.6,-2.34,-4.06,2576.25,-0.2,1375.88,-1.75,8.03,-0.63,0,0,26.35,1,0,6,0,6,0,11,-8.38,0.62,8.99,Fathead,LC50,96,10.2,-0.62,8.38,-3.88
563,10453868,0.01,-4.605170186,1.82E-05,-10.91,1,0,0,0,0,6,2,338.45,2.87,670.15,372.83,36.95,260.38,0,1197.7,0,2.5,0.01,0,0.81,40.41,11.45,14.24,4.49,5.94,-6.63,-5.79,4421.06,-0.17,2466.54,-0.71,9.42,-0.2,0,0,37.42,3,1,14,3,11,3,25,-9.06,0.4,9.46,Fathead,LC50,96,0.01,-0.4,9.06,-4.33
169,104767,28.2,3.339321978,0.22,-1.53,5,0,0,0,0,6,0,130.23,1.98,387.83,338.38,49.45,0,0,611.96,1,1.7,0.01,0,0.9,14.48,4.46,5.96,2.8,2.49,-1.81,-3.17,3364.96,-0.21,1836.34,-1.86,10.87,-3.14,0,0,21.83,1,0,0,0,0,0,9,-10.74,3.41,14.15,Fathead,LC50,96,28.2,-3.41,10.74,-3.665
170,104881,2.2,0.78845736,0.02,-4.16,4,0,0,0,0,1,0,140.57,2.65,323.18,18.67,75.77,157.08,71.67,488.51,0,2,0.01,0,0.93,14.25,4.98,5.66,3.86,1.57,-1.3,-3.44,1894.1,0.09,2436.75,-2.27,9.76,0.77,0,0,36.74,1,0,6,0,6,0,9,-9.91,-0.74,9.17,Fathead,LC50,96,2.2,0.74,9.91,-5.325
171,104905,81.1,4.395682961,0.67,-0.4,4,0,0,0,0,1,0,121.18,1.74,351.37,221.43,19.55,110.39,0,539.95,0,1,0.01,0,0.91,15.87,4.15,4.82,2.21,2.31,-1.98,-3.47,6464.31,0.35,3719.02,-1.4,9.73,-0.07,0,0,11.67,1,0,6,0,6,0,9,-9.38,0.15,9.53,Fathead,LC50,96,81.1,-0.15,9.38,-4.615
172,105146,336,5.81711116,2.14,0.76,2,1,0,0,0,6,1,157.26,4.09,432.5,386.46,46.05,0,0,701.51,0,4,0.02,0,0.88,18.07,5.02,7.19,3.69,1.08,-0.12,-4.15,903.94,0.21,490.71,-3.86,9.5,-0.87,0,0,32.64,2,0,0,0,0,0,11,-9.1,0.87,9.97,Fathead,LC50,96,336,-0.87,9.1,-4.115
173,105533,14.7,2.687847494,0.09,-2.39,3,0,0,0,0,4,2,160.17,4.24,395.92,302.56,93.36,0,0,617.62,0,4,0.03,0,0.89,16,4.49,6.84,4.36,0.73,-0.97,-3.38,1290.05,-0.47,651.48,-2.86,10.52,-0.96,0,0,68.58,4,0,0,0,0,0,11,-11.4,0.85,12.25,Fathead,LC50,96,14.7,-0.85,11.4,-5.275
174,105679,16.6,2.809402695,0.14,-2,4,0,0,0,0,1,0,122.17,2.34,336.05,170.63,44.75,120.67,0,513.11,1,0.75,0.01,0,0.92,14.89,4.43,6.03,3.64,2.23,-1.45,-3.36,3728.46,0.15,2051.66,-1.82,9.28,-0.28,0,0,20.6,1,0,6,0,6,0,9,-8.78,0.4,9.18,Fathead,LC50,96,16.6,-0.4,8.78,-4.19
175,105759,0.63,-0.46203546,0,-5.89,3,0,0,0,0,9,2,228.29,0,592.48,453.98,113.35,25.15,0,941.44,0,4,0,0,0.78,25.98,7.76,9.64,4.04,2.66,-3.89,-5.15,833.74,-1.21,406.44,-2.66,11.15,0.85,0,0,73.48,4,0,0,0,0,0,16,-11.28,-0.9,10.38,Fathead,LC50,96,0.63,0.9,11.28,-6.09
176,105997,3.64,1.291983682,0.01,-4.26,4,0,0,0,0,11,2,258.36,0,663.38,563.6,99.78,0,0,1074.86,0,4,0,0,0.76,29.8,8.9,10.73,3.51,3.67,-4.9,-5.34,1121.17,-1.24,559.81,-2.3,11.12,-1.18,0,0,71.98,4,0,0,0,0,0,18,-11.21,1.11,12.31,Fathead,LC50,96,3.64,-1.11,11.21,-5.05
177,106401,47.5,3.860729711,0.28,-1.29,3,0,0,0,0,1,0,172.02,4.29,308.67,0,61.68,169.9,77.09,458.78,1.5,1,0.04,0,0.93,13.19,5.06,7.26,5.03,1.83,-1.63,-3.44,2576.03,0.22,3637.69,-1.96,8.32,-0.11,0,0,26.35,1,0,6,0,6,0,8,-8.39,0.41,8.8,Fathead,LC50,96,47.5,-0.41,8.39,-3.99
178,106423,8.87,2.182674796,0.08,-2.48,9,0,0,0,0,0,0,106.17,0.05,327.22,175.82,0,151.4,0,494.57,0,0,5.10E-06,0,0.92,15.08,3.92,3.96,0.73,3.1,-2.85,-3.48,9906.04,0.54,5899.29,-0.99,9.31,-0.43,0,0,0,0,0,6,0,6,0,8,-9.06,0.49,9.55,Fathead,LC50,96,8.87,-0.49,9.06,-4.285
179,106445,16.5,2.803360381,0.15,-1.88,5,0,0,0,0,1,0,108.14,2.5,307.89,87.88,54.47,165.54,0,458.14,1,0.75,0.01,0,0.93,13.12,4.33,5.59,3.94,1.94,-0.78,-3.4,3015.22,0.09,1630.94,-1.84,9.38,-0.25,0,0,22.47,1,0,6,0,6,0,8,-9.27,0.27,9.53,Fathead,LC50,96,16.5,-0.27,9.27,-4.5
180,106478,31.4,3.446807893,0.25,-1.4,5,0,0,0,0,1,0,127.57,4.71,304.09,0,61.69,170.69,71.72,450.64,1.5,1,0.05,0,0.93,12.87,4.96,7.26,5.02,1.88,-1.63,-3.4,2575.94,0.21,3399.57,-1.96,8.21,-0.36,0,0,26.35,1,0,6,0,6,0,8,-8.58,0.29,8.87,Fathead,LC50,96,31.4,-0.29,8.58,-4.145
181,106489,6.11,1.809926773,0.05,-3.05,5,0,0,0,0,1,0,128.56,2.53,300.48,0,54.47,174.28,71.73,443.5,1,0.75,0.01,0,0.94,12.62,4.76,5.8,4.01,2.39,-0.86,-3.4,3015.42,0.27,4031.07,-1.81,9.42,0.08,0,0,22.47,1,0,6,0,6,0,8,-9.5,-0.09,9.41,Fathead,LC50,96,6.11,0.09,9.5,-4.795
182,106490,160,5.075173815,1.49,0.4,4,0,0,0,0,1,0,107.16,1.96,311.5,87.87,61.68,161.95,0,465.27,1.5,1,0.01,0,0.93,13.37,4.53,6.5,4.95,1,-0.64,-3.4,2576.25,0.03,1375.88,-1.99,8,-0.64,0,0,26.35,1,0,6,0,6,0,8,-8.36,0.62,8.97,Fathead,LC50,96,160,-0.62,8.36,-3.87
183,106638,2.1,0.741937345,0.02,-4.11,5,0,0,0,0,3,1,128.17,2.27,377.84,277.12,49.66,51.06,0,578.11,0,2,0.01,0,0.89,15.54,4.13,5.23,2.62,1.76,-1.68,-3.58,3349.13,-0.04,1827.01,-1.97,10.96,-0.01,0,0,35.62,2,0,0,0,0,0,9,-11.03,0.04,11.08,Fathead,LC50,96,2.1,-0.04,11.03,-5.495
184,106945,67.3,4.209160237,0.55,-0.6,12,0,0,0,0,1,1,122.99,2.52,264.31,184.96,0,0,79.35,370.12,0,0,0.02,0,0.94,8.02,2.2,1.88,0.16,1.84,-1.78,-2.45,9906.04,0.56,10000,-1.42,10.92,0.19,0,0,0,0,0,0,0,0,0,4,-10.69,0.83,11.52,Fathead,LC50,96,67.3,-0.83,10.69,-4.93
185,107028,0.02,-3.912023005,0,-8.1,11,0,0,0,0,1,1,56.06,4,229.53,93.98,84.11,51.45,0,308.49,0,2,0.05,0,0.96,6.04,2.08,2.89,2.94,-0.01,0.57,-2.39,1578.62,-0.1,810.34,-2.79,10.74,0.25,0,0,38.18,1,0,0,0,0,0,4,-10.69,-0.14,10.56,Fathead,LC50,96,0.02,0.14,10.69,-5.415
186,107062,136,4.912654886,1.37,0.31,13,0,0,0,0,0,0,98.96,0,252.59,104.75,0,0,147.84,347.81,0,0,0,0,0.95,7.77,2.46,1.94,0.38,1.49,-1.3,-2.39,9906.04,0.4,10000,-1.52,10.72,-0.37,0,0,0,0,0,0,0,0,0,4,-11.42,0.68,12.1,Fathead,LC50,96,136,-0.68,11.42,-5.37
187,107073,53.7,3.983413002,0.67,-0.4,10,0,0,0,0,1,0,80.51,4.03,238.57,115.69,52.21,0,70.67,323.8,1,1.7,0.05,0.01,0.96,6.16,2.33,4.29,3.59,0.1,0.28,-2.25,3167.87,0.3,4195.08,-2.39,10.31,-1.18,0,0,22.69,1,0,0,0,0,0,4,-11.23,1.2,12.43,Fathead,LC50,96,53.7,-1.2,11.23,-5.015
188,107108,308,5.730099783,5.21,1.65,10,1,0,0,0,2,0,59.11,1.58,250.96,186.87,64.09,0,0,346.84,2,1,0.01,0.01,0.95,6.44,2.37,4.54,4.23,-0.18,1.78,-3.05,609.62,0.37,320.56,-4.57,9.55,-3.09,0,0,27.23,1,0,0,0,0,0,4,-9.68,3.59,13.27,Fathead,LC50,96,308,-3.59,9.68,-3.045
189,107120,1520,7.326465614,27.6,3.32,10,0,0,0,0,1,0,55.08,5.08,239.26,154.11,71.35,13.79,0,320.42,0,1.5,0.08,0,0.95,6.16,1.67,2.9,2.13,0.16,0.27,-2.46,2085.85,-0.03,1095.11,-2.69,12.25,-1.61,0,0,25.66,1,0,0,0,0,0,4,-11.99,1.71,13.7,Fathead,LC50,96,1520,-1.71,11.99,-5.14
190,107142,1.35,0.300104592,0.02,-4.03,9,0,0,0,0,0,0,75.5,4.37,230.8,64.4,72.11,16.34,77.96,304.71,0,1.5,0.06,0,0.95,6.2,2.07,3.11,2.38,0.23,-0.19,-2.44,2051.73,0.22,2875.93,-2.79,11.03,-0.08,0,0,25.66,1,0,0,0,0,0,4,-11.82,0.34,12.15,Fathead,LC50,96,1.35,-0.34,11.82,-5.74
191,107153,220,5.393627546,3.66,1.3,9,2,0,0,0,3,0,60.1,2.7,235.55,107.37,128.17,0,0,318.18,4,2,0.02,0.02,0.96,4.65,2.99,7.88,8.32,-1.99,2,-3.68,37.52,0.25,17.42,-7.72,9.56,-2.82,0,0,54.45,2,0,0,0,0,0,4,-9.69,3.29,12.97,Fathead,LC50,96,220,-3.29,9.69,-3.2
192,107186,0.32,-1.139434283,0.01,-5.2,10,0,0,0,0,2,0,58.08,2.19,237.88,129.89,58.05,49.94,0,321.52,1,1.7,0.01,0.01,0.95,5.91,2.17,3.45,3.72,0.17,0.62,-2.51,2788.9,0.02,1499.03,-2.22,10.36,-1.1,0,0,23.14,1,0,0,0,0,0,4,-10.04,1.22,11.26,Fathead,LC50,96,0.32,-1.22,10.04,-4.41
193,107197,1.48,0.392042088,0.03,-3.63,9,0,0,0,0,2,0,56.06,2.49,227.48,102.71,60.56,64.22,0,296.97,1.5,1.7,0.02,0.01,0.95,5.06,1.98,3.99,4.55,0.14,0.57,-2.71,2640.32,-0.01,1412.9,-2.22,10.8,-1.79,0,0,23.52,1,0,0,0,0,0,4,-10.63,1.7,12.33,Fathead,LC50,96,1.48,-1.7,10.63,-4.465
454,1072975,177,5.176149733,1.02,0.02,4,0,0,0,0,1,0,173.01,3.74,301.5,0,85.49,138.7,77.31,444.17,2,1.5,0.03,0.01,0.93,12.3,4.97,7.91,6.18,1.45,-1.11,-3.27,1531.86,0.04,2080.02,-2.51,8.61,0.1,0,0,37.65,2,0,6,0,6,0,8,-8.71,0.09,8.8,Fathead,LC50,96,177,-0.09,8.71,-4.31
194,107299,76,4.33073334,1.29,0.25,8,0,0,0,0,2,0,59.07,1.41,233.94,117.23,116.72,0,0,313.19,1,3.2,0.01,0.01,0.95,5.1,2.12,4.07,5.25,-0.51,0.45,-2.29,774.6,-0.41,375.37,-3.48,10.32,-0.87,0,0,57.04,2,0,0,0,0,0,4,-10.2,1.07,11.26,Fathead,LC50,96,76,-1.07,10.2,-4.565
195,107415,10700,9.27799902,90.5,4.51,5,0,0,0,0,4,0,118.18,2.69,331.17,263.55,67.63,0,0,511.34,2,2.45,0.01,0.01,0.93,11.74,4.08,7.18,5.44,0.68,-0.8,-2.6,2262.6,-0.2,1195.75,-2.38,10.79,-3.14,0,0,37.84,2,0,0,0,0,0,8,-10.66,3.14,13.81,Fathead,LC50,96,10700,-3.14,10.66,-3.76
196,107459,24.6,3.202746443,0.19,-1.66,6,1,0,0,0,3,0,129.25,1.62,336.67,310.28,26.38,0,0,554.49,2,1,0,0,0.97,14.11,4.64,7,3.96,1.3,0.02,-2.75,1388.66,0.59,780.48,-3.78,9.3,-3.14,0,0,18.32,1,0,0,0,0,0,9,-9.74,3.57,13.32,Fathead,LC50,96,24.6,-3.57,9.74,-3.085
197,107471,29.1,3.370738174,0.2,-1.61,7,0,0,0,0,2,0,146.29,2.13,346.44,323.16,0,0,23.28,580.67,0,0.5,0.01,0,0.97,15.8,4.46,4.48,0.61,1.99,-3.15,-1.99,9906.04,0.61,7912.58,-1.33,8.85,-0.48,0,0,0,0,0,0,0,0,0,9,-8.41,0.68,9.09,Fathead,LC50,96,29.1,-0.68,8.41,-3.865
198,107879,1240,7.122866659,14.4,2.67,7,0,0,0,0,2,1,86.13,3.55,302.07,257.34,44.73,0,0,442.02,0,2,0.03,0,0.93,10.25,2.63,3.66,2.28,1.21,-0.75,-2.68,3730.31,0.1,2052.76,-2.15,10.64,-0.89,0,0,27.48,1,0,0,0,0,0,6,-10.53,0.88,11.41,Fathead,LC50,96,1240,-0.88,10.53,-4.825
455,1080326,336,5.81711116,1.47,0.39,0,0,0,0,0,6,2,228.23,3,487.41,285.22,17.42,184.26,0.52,807.79,0,5,0.01,0,0.86,24.08,7.07,9.78,5.87,2.23,-1.86,-4.67,6772.38,0.05,3936.57,-0.62,9.24,-0.25,0,0,32.66,3,0,6,0,6,0,15,-9.69,0.14,9.82,Fathead,LC50,96,336,-0.14,9.69,-4.775
199,108101,522,6.257667588,5.21,1.65,7,0,0,0,0,2,1,100.16,3.42,321.06,285.66,35.4,0,0,485.88,0,2,0.02,0,0.93,12.01,3.08,4.16,2.26,1.29,-0.82,-2.65,4572.67,0.17,2558.09,-1.98,10.56,-0.86,0,0,24.22,1,0,0,0,0,0,7,-10.49,0.9,11.39,Fathead,LC50,96,522,-0.9,10.49,-4.795
200,108203,786,6.666956792,7.69,2.04,9,0,0,0,0,2,0,102.18,1.83,330.33,330.33,0,0,0,507.13,0,1.7,0.01,0,0.93,12.86,3.07,3.89,1.75,1.35,-1.06,-2.65,9906.04,0.08,5899.29,-1.66,10.71,-2.9,0,0,8.34,1,0,0,0,0,0,7,-10.38,2.87,13.25,Fathead,LC50,96,786,-2.87,10.38,-3.755
201,108883,33.9,3.523415014,0.37,-1,10,0,0,0,0,0,0,92.14,0.39,295.54,87.91,0,207.63,0,435.42,0,0,0,0,0.94,13.25,3.83,3.44,0.92,2.73,-2.22,-3.49,9906.04,0.37,5899.29,-0.79,9.55,-0.42,0,0,0,0,0,6,0,6,0,7,-9.33,0.52,9.85,Fathead,LC50,96,33.9,-0.52,9.33,-4.405
202,108894,403,5.998936562,4.33,1.47,8,0,0,0,0,0,0,93.13,2.36,288.43,88.37,26.15,173.91,0,422.04,0,1.5,0.01,0,0.94,12.4,3.66,4.21,3.25,0.67,-0.12,-3.28,5596.95,0.37,3182.71,-1.39,10,-0.07,0,0,12.17,1,0,6,0,6,0,7,-9.89,0.21,10.09,Fathead,LC50,96,403,-0.21,9.89,-4.84
203,108907,16.9,2.827313622,0.15,-1.9,10,0,0,0,0,0,0,112.56,2.21,288.13,0,0,216.36,71.76,420.76,0,0,0.01,0,0.94,12.75,4.26,3.8,1.91,2.89,-2.39,-3.49,9906.04,0.19,10000,-0.76,9.53,-0.07,0,0,0,0,0,6,0,6,0,7,-9.56,0.15,9.72,Fathead,LC50,96,16.9,-0.15,9.56,-4.705
204,108930,704,6.556778356,7.03,1.95,9,0,0,0,0,1,0,100.16,2.08,300.85,251.29,49.55,0,0,452.7,1,1.7,0.01,0.01,0.95,11.32,3.23,5.15,3.7,1.18,-0.73,-2.38,3357.2,0.14,1831.76,-2.34,10.97,-3.12,0,0,22.41,1,0,6,0,6,6,7,-10.67,3.37,14.04,Fathead,LC50,96,704,-3.37,10.67,-3.65
205,108941,621,6.431331082,6.33,1.85,7,0,0,0,0,0,1,98.14,3.92,295.52,242.85,52.67,0,0,441,0,2,0.03,0,0.95,11.5,2.9,4.32,2.76,0.81,-0.59,-2.37,3136.39,0.17,1701.89,-2.49,10.49,-0.9,0,0,28.48,1,0,6,0,6,5,7,-10.3,0.92,11.23,Fathead,LC50,96,621,-0.92,10.3,-4.69
